City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rhyl,53.3196,-3.4886,289.81,81,70,4.38,GB,1722913445
1,qaqortoq,60.7167,-46.0333,281.43,89,100,1.38,GL,1722913446
2,adamstown,-25.066,-130.1015,292.35,69,43,6.14,PN,1722913447
3,isafjordur,66.0755,-23.124,279.8,95,100,6.24,IS,1722913449
4,asadabad,34.7824,48.1185,292.12,25,1,0.96,IR,1722913450
5,mondlo,-27.983,30.7177,278.57,92,0,1.81,ZA,1722913451
6,saint-philippe,-21.3585,55.7679,291.92,71,8,1.7,RE,1722913452
7,ushuaia,-54.8,-68.3,268.96,86,0,1.54,AR,1722913361
8,puerto ayora,-0.7393,-90.3518,293.26,86,61,3.87,EC,1722913455
9,tromso,69.6496,18.957,286.16,88,82,0.0,NO,1722913456
10,thompson,55.7435,-97.8558,292.24,48,75,1.54,CA,1722913457
11,ribeira grande,38.5167,-28.7,296.36,89,21,1.34,PT,1722913360
12,hamilton,39.1834,-84.5333,300.25,79,0,1.54,US,1722913459
13,blackmans bay,-43.0167,147.3167,288.56,51,95,1.79,AU,1722913460
14,vorgashor,67.5833,63.95,282.58,56,12,2.52,RU,1722913461
15,waitangi,-43.9535,-176.5597,284.16,79,9,2.24,NZ,1722913462
16,takab,36.4009,47.1133,296.88,37,0,1.81,IR,1722913463
17,guantanamo,20.1444,-75.2092,300.91,90,48,2.04,CU,1722913394
18,jamestown,42.097,-79.2353,295.68,97,75,3.09,US,1722913467
19,margaret river,-33.95,115.0667,289.93,84,95,10.42,AU,1722913468
20,taber,49.8167,-112.1518,298.15,50,0,2.57,CA,1722913435
21,grytviken,-54.2811,-36.5092,261.36,75,91,4.88,GS,1722913470
22,antofagasta,-23.65,-70.4,286.75,81,17,2.63,CL,1722913314
23,annau,37.8876,58.516,305.87,17,0,8.23,TM,1722913472
24,saipan,15.1355,145.701,305.54,70,0,4.12,MP,1722913474
25,banda aceh,5.5577,95.3222,302.59,66,67,4.48,ID,1722913475
26,olonkinbyen,70.9221,-8.7187,278.88,100,100,2.63,SJ,1722913476
27,nacimiento,-37.5,-72.6667,277.23,96,28,0.97,CL,1722913340
28,sovetsk,55.0839,21.8785,286.24,91,6,2.38,RU,1722913479
29,piacabucu,-10.4056,-36.4344,295.53,82,12,3.6,BR,1722913352
30,tamanrasset,22.785,5.5228,303.1,13,40,8.23,DZ,1722913335
31,cabo san lucas,22.8909,-109.9124,304.05,65,0,1.34,MX,1722913209
32,adoni,15.6333,77.2833,297.82,74,100,6.85,IN,1722913483
33,port-aux-francais,-49.35,70.2167,274.38,96,100,13.22,TF,1722913484
34,la peca,-5.6111,-78.435,293.54,85,7,1.64,PE,1722913485
35,qarazhal,48.0078,70.7903,299.57,28,15,1.56,KZ,1722913486
36,aral,40.5156,81.2636,301.01,39,84,3.22,CN,1722913487
37,tolanaro,-25.0319,46.9987,291.19,88,0,2.06,MG,1722913488
38,wailua homesteads,22.0669,-159.378,300.59,74,0,7.2,US,1722913490
39,merowe,18.4833,31.8167,302.28,63,95,3.79,SD,1722913491
40,prince rupert,54.3161,-130.3201,287.2,100,100,5.66,CA,1722913492
41,sidi bennour,32.6524,-8.4277,291.63,92,0,1.82,MA,1722913493
42,ambon,-3.6954,128.1814,301.41,95,75,1.54,ID,1722913494
43,caucete,-31.6518,-68.2811,287.45,28,0,7.69,AR,1722913462
44,mangrol,21.1167,70.1167,301.22,84,100,8.09,IN,1722913496
45,ayden,35.4727,-77.4155,297.31,92,100,2.63,US,1722913497
46,kingston,17.997,-76.7936,302.68,74,20,1.54,JM,1722913246
47,uturoa,-16.7333,-151.4333,299.28,82,3,6.52,PF,1722913499
48,laungowal,30.2167,75.6833,303.29,70,0,6.21,IN,1722913500
49,bay harbor,30.1471,-85.6146,301.12,81,0,3.6,US,1722913502
50,klyuchi,52.2667,79.1667,294.56,55,80,2.97,RU,1722913503
51,edinburgh of the seven seas,-37.0676,-12.3116,286.79,94,100,11.49,SH,1722913504
52,afaahiti,-17.75,-149.2833,299.85,82,27,8.1,PF,1722913457
53,chadan,51.2833,91.5833,291.32,64,64,1.01,RU,1722913506
54,kodiak,57.79,-152.4072,285.88,100,100,4.12,US,1722913507
55,petropavlovsk-kamchatsky,53.0452,158.6483,291.48,63,40,5.0,RU,1722913508
56,papatowai,-46.5619,169.4708,285.95,61,8,3.19,NZ,1722913510
57,ilulissat,69.2167,-51.1,279.16,87,14,0.0,GL,1722913511
58,bilibino,68.0546,166.4372,279.3,55,100,1.4,RU,1722913512
59,aasiaat,68.7098,-52.8699,276.47,95,47,2.06,GL,1722913513
60,sola,-13.8833,167.55,297.94,68,99,10.14,VU,1722913514
61,valley city,46.9233,-98.0032,288.44,100,0,2.06,US,1722913277
62,tiksi,71.6872,128.8694,289.81,49,100,2.18,RU,1722913516
63,xinyang,32.1228,114.0656,306.8,61,100,2.63,CN,1722913517
64,tchintabaraden,15.8969,5.7985,301.58,64,100,6.96,NE,1722913518
65,albany,42.6001,-73.9662,296.44,68,100,2.81,US,1722913519
66,ghat,24.9647,10.1728,302.31,19,0,2.69,LY,1722913334
67,mossel bay,-34.1831,22.146,280.11,60,0,2.43,ZA,1722913522
68,ballina,-28.8667,153.5667,296.36,50,3,2.28,AU,1722913523
69,mar del plata,-38.0023,-57.5575,285.16,92,100,7.15,AR,1722913398
70,amos,48.5669,-78.1162,285.3,67,52,1.5,CA,1722913525
71,mugia,43.1041,-9.2179,294.35,93,100,1.95,ES,1722913377
72,flin flon,54.7682,-101.865,290.34,45,100,2.75,CA,1722913527
73,nova vicosa,-17.8919,-39.3719,294.85,79,2,1.69,BR,1722913528
74,kuraymah,18.55,31.85,301.97,63,93,3.65,SD,1722913529
75,suva,-18.1416,178.4415,297.86,50,75,4.12,FJ,1722913530
76,kerikeri,-35.2268,173.9474,286.96,66,42,3.4,NZ,1722913416
77,remire-montjoly,4.9167,-52.2667,298.17,100,0,0.51,GF,1722913532
78,puerto natales,-51.7236,-72.4875,269.84,94,65,1.11,CL,1722913534
79,alaghsas,17.0187,8.0168,302.36,59,100,4.63,NE,1722913535
80,lebu,-37.6167,-73.65,280.34,87,40,1.23,CL,1722913329
81,west island,-12.1568,96.8225,301.14,61,75,5.66,CC,1722913351
82,invercargill,-46.4,168.35,285.32,61,73,2.22,NZ,1722913538
83,dudinka,69.4058,86.1778,285.81,50,0,9.62,RU,1722913539
84,vadso,70.0744,29.7487,284.64,87,20,2.06,NO,1722913540
85,queenstown,-31.8976,26.8753,278.9,31,0,2.48,ZA,1722913541
86,christchurch,-43.5333,172.6333,288.53,51,0,10.28,NZ,1722913322
87,carnarvon,-24.8667,113.6333,292.5,51,0,0.99,AU,1722913543
88,bageshwar,29.85,79.7667,297.04,93,98,0.65,IN,1722913545
89,st. john's,47.5649,-52.7093,293.59,96,100,8.23,CA,1722913383
90,hithadhoo,-0.6,73.0833,301.78,69,100,0.71,MV,1722913547
91,arvayheer,46.2639,102.775,295.73,33,24,4.46,MN,1722913548
92,kerema,-7.9631,145.7785,299.3,87,55,3.42,PG,1722913549
93,nzega,-2.479,29.5564,285.56,37,36,2.35,RW,1722913550
94,vilyuchinsk,52.9306,158.4028,292.3,86,100,2.71,RU,1722913551
95,geraldton,-28.7667,114.6,289.38,72,100,5.14,AU,1722913353
96,san andres,12.5847,-81.7006,302.16,84,20,5.66,CO,1722913553
97,san patricio,28.017,-97.5169,303.09,64,82,4.66,US,1722913554
98,whitehorse,60.7161,-135.0538,299.58,26,20,5.14,CA,1722913294
99,arraial do cabo,-22.9661,-42.0278,295.6,87,0,11.1,BR,1722913557
100,lucapa,-8.4192,20.7447,291.35,31,9,1.64,AO,1722913558
101,umm kaddadah,13.6017,26.6876,300.55,62,57,3.03,SD,1722913559
102,la passe,45.5549,-0.8967,293.14,90,1,1.35,FR,1722913560
103,jalai nur,49.45,117.7,293.2,70,61,0.57,CN,1722913561
104,utrik,11.2278,169.8474,301.53,79,100,4.78,MH,1722913562
105,nivala,63.9167,24.9667,284.09,84,82,1.47,FI,1722913563
106,saint-louis,16.3333,-15.0,301.32,67,84,4.32,SN,1722913564
107,yanchep,-31.55,115.6833,293.12,64,13,6.85,AU,1722913565
108,safford,32.834,-109.7076,310.66,20,40,3.09,US,1722913566
109,taretan,19.3333,-101.9167,292.72,97,100,1.58,MX,1722913567
110,pacific grove,36.6177,-121.9166,292.49,86,0,4.63,US,1722913569
111,yellowknife,62.456,-114.3525,294.44,32,75,4.63,CA,1722913570
112,broome,42.2506,-75.833,294.37,88,100,1.54,US,1722913572
113,gadzhiyevo,69.2551,33.3362,283.79,63,13,2.08,RU,1722913302
114,georgetown,5.4112,100.3354,303.12,62,20,1.54,MY,1722913574
115,kolonia town,6.964,158.206,305.15,74,75,5.14,FM,1722913575
116,lompoc,34.6391,-120.4579,289.18,94,75,4.12,US,1722913282
117,severnoye,56.3491,78.3619,291.69,84,94,2.56,RU,1722913474
118,fort bragg,35.139,-79.006,298.06,88,0,2.06,US,1722913579
119,pasuquin,18.3328,120.6177,304.12,79,40,4.63,PH,1722913580
